id,x,y,z,traffic_light_id,tags,node_type
5,1.303592833,103.8483656,0,5000,<old_id>: 0, <Tlight>: 1,2
6,1.302900464,103.8357858,0,6000,<old_id>: 0, <Tlight>: 1,2
8,1.293928116,103.7832282,0,0,<old_id>: 0, <Tlight>: 0,2
9,1.302287914,103.8246097,0,9000,<old_id>: 0, <Tlight>: 1,2
10,1.302283762,103.8157945,0,10000,<old_id>: 0, <Tlight>: 1,2
11,1.302596792,103.8077139,0,11000,<old_id>: 0, <Tlight>: 1,2
12,1.30227559,103.7986366,0,12000,<old_id>: 0, <Tlight>: 1,2
13,1.30454503,103.7956971,0,13000,<old_id>: 0, <Tlight>: 1,2
14,1.299419484,103.789613,0,0,<old_id>: 0, <Tlight>: 0,2
15,1.274925021,103.809983,0,0,<old_id>: 0, <Tlight>: 0,2
16,1.279197996,103.7999591,0,0,<old_id>: 0, <Tlight>: 0,2
17,1.273706334,103.8013259,0,0,<old_id>: 0, <Tlight>: 0,2
18,1.280171169,103.8489008,0,0,<old_id>: 0, <Tlight>: 0,2
19,1.281700354,103.8437186,0,0,<old_id>: 0, <Tlight>: 0,2
20,1.29833546,103.8426486,0,0,<old_id>: 0, <Tlight>: 0,2
21,1.298021556,103.8491027,0,21000,<old_id>: 0, <Tlight>: 1,2
22,1.29126885,103.8359354,0,22000,<old_id>: 0, <Tlight>: 1,2
23,1.284324168,103.8359386,0,23000,<old_id>: 0, <Tlight>: 1,2
24,1.285510891,103.8326061,0,0,<old_id>: 0, <Tlight>: 0,2
25,1.284611312,103.8287237,0,0,<old_id>: 0, <Tlight>: 0,2
27,1.290817508,103.8306361,0,0,<old_id>: 0, <Tlight>: 0,2
28,1.2909205,103.8249691,0,28000,<old_id>: 0, <Tlight>: 1,2
29,1.2939226,103.8076523,0,29000,<old_id>: 0, <Tlight>: 1,2
30,1.279182808,103.7957484,0,30000,<old_id>: 0, <Tlight>: 1,2
31,1.281294135,103.7934387,0,31000,<old_id>: 0, <Tlight>: 1,2
32,1.292967499,103.7981556,0,32000,<old_id>: 0, <Tlight>: 1,2
33,1.286154964,103.7982113,0,33000,<old_id>: 0, <Tlight>: 1,2
34,1.288878681,103.8066053,0,34000,<old_id>: 0, <Tlight>: 1,2
35,1.287004826,103.8085738,0,35000,<old_id>: 0, <Tlight>: 1,2
36,1.282673447,103.8066606,0,0,<old_id>: 0, <Tlight>: 0,2
37,1.279929105,103.8105447,0,0,<old_id>: 0, <Tlight>: 0,2
38,1.281594151,103.8137709,0,38000,<old_id>: 0, <Tlight>: 1,2
39,1.27335686,103.816372,0,39000,<old_id>: 0, <Tlight>: 1,2
40,1.278903124,103.8187831,0,40000,<old_id>: 0, <Tlight>: 1,2
41,1.276477543,103.8268647,0,41000,<old_id>: 0, <Tlight>: 1,2
42,1.273481965,103.8300405,0,42000,<old_id>: 0, <Tlight>: 1,2
43,1.271559491,103.8413488,0,43000,<old_id>: 0, <Tlight>: 1,2
