id,x,y,z,seq_id
1,366018.4837,144207.3879,0,0
1,366007.1537,144209.3632,0,1
2,366020.621,144210.1595,0,0
2,366010.1308,144238.1833,0,1
3,366022.7583,144212.9312,0,0
3,366013.2892,144237.6686,0,1
4,366029.3678,144238.041,0,0
4,366007.1537,144209.3632,0,1
5,366026.2084,144238.549,0,0
5,366005.112,144211.8272,0,1
6,366029.3678,144238.041,0,0
6,366033.7808,144221.1205,0,1
7,365351.5756,143668.2541,0,0
7,365356.6376,143659.5736,0,1
8,365351.5756,143668.2541,0,0
8,365322.7465,143657.3672,0,1
9,365349.5339,143670.7182,0,0
9,365322.9578,143660.5602,0,1
10,366331.0301,143958.7814,0,0
10,366325.5556,143970.2806,0,1
11,366334.2265,143958.6295,0,0
11,366357.7852,143980.1908,0,1
12,367332.7748,144020.4178,0,0
12,367369.8028,144017.18,0,1
13,367332.9088,144016.9203,0,0
13,367369.6764,144013.6823,0,1
14,367332.6409,144023.9152,0,0
14,367344.0686,144038.1401,0,1
15,368235.3438,143980.7562,0,0
15,368248.3634,143960.0273,0,1
16,368235.5966,143987.7516,0,0
16,368265.6075,143983.9606,0,1
17,368235.4702,143984.2539,0,0
17,368265.6198,143980.4606,0,1
18,367358.6368,143055.8243,0,0
18,367355.9632,143037.9407,0,1
19,367356.1509,143058.2881,0,0
19,367352.5381,143038.6611,0,1
20,367353.6651,143060.752,0,0
20,367332.1183,143045.2546,0,1
21,367331.7742,143053.0979,0,0
21,367349.113,143039.3815,0,1
22,367331.4662,143056.0821,0,0
22,367348.0682,143067.2502,0,1
23,366276.2988,142956.153,0,0
23,366282.9031,142959.3865,0,1
24,366276.2988,142956.153,0,0
24,366302.8393,142950.5731,0,1
25,366274.6274,142953.6617,0,0
25,366294.6214,142928.4834,0,1
26,365324.8925,143669.7984,0,0
26,365354.6223,143657.3514,0,1
27,365325.1135,143672.9908,0,0
27,365339.75,143674.7446,0,1
28,365324.8925,143669.7984,0,0
28,365341.8067,143672.293,0,1
29,366281.3274,142929.8953,0,0
29,366282.9031,142959.3865,0,1
30,366284.5273,142929.9103,0,0
30,366303.1473,142947.589,0,1
31,366281.3274,142929.8953,0,0
31,366272.4867,142942.5175,0,1
32,367235.7574,142505.4968,0,0
32,367217.3438,142492.1966,0,1
33,367242.6075,142504.0559,0,0
33,367249.2105,142497.2735,0,1
34,367239.1824,142504.7763,0,0
34,367246.739,142494.7952,0,1
35,367212.9264,142505.7887,0,0
35,367223.4252,142508.6759,0,1
36,367213.3049,142502.6112,0,0
36,367244.2676,142492.3169,0,1
37,366278.6367,142187.4194,0,0
37,366284.2839,142204.3981,0,1
38,366278.6367,142187.4194,0,0
38,366305.4664,142202.579,0,1
39,366280.9085,142185.1658,0,0
39,366306.9505,142199.744,0,1
40,365769.3171,141638.949,0,0
40,365768.0862,141668.8727,0,1
41,365767.3109,141636.7185,0,0
41,365745.8303,141663.6363,0,1
42,365767.3109,141636.7185,0,0
42,365756.4607,141641.0495,0,1
43,365746.1453,141651.5284,0,0
43,365765.8144,141671.1263,0,1
44,365746.1453,141651.5284,0,0
44,365745.8303,141663.6363,0,1
45,365748.5281,141649.3924,0,0
45,365774.8813,141643.8616,0,1
46,366039.613,141420.2401,0,0
46,366002.42,141429.0163,0,1
47,366039.5663,141416.7404,0,0
47,366028.589,141404.095,0,1
48,365447.4135,139866.882,0,0
48,365462.4933,139845.2811,0,1
49,365444.4692,139866.3065,0,0
49,365460.5539,139842.9923,0,1
50,365444.4692,139866.3065,0,0
50,365436.0642,139835.2329,0,1
51,366506.399,141434.3863,0,0
51,366477.2225,141417.1022,0,1
52,367240.0728,142479.0641,0,0
52,367217.7496,142489.0225,0,1
53,367240.0728,142479.0641,0,0
53,367223.4252,142508.6759,0,1
54,367242.5401,142481.5464,0,0
54,367226.8444,142507.9281,0,1
55,367245.0075,142484.0287,0,0
55,367230.2636,142507.1804,0,1
56,367429.176,142274.0549,0,0
56,367430.1797,142289.8626,0,1
57,367432.3664,142272.6159,0,0
57,367454.0898,142299.7452,0,1
58,367435.5578,142271.1789,0,0
58,367460.2404,142279.5632,0,1
59,369272.6554,142731.0045,0,0
59,369279.6615,142701.462,0,1
60,369275.7338,142731.8783,0,0
60,369287.1549,142723.9076,0,1
61,368044.6447,141687.6776,0,0
61,368015.037,141698.0137,0,1
62,368046.0853,141684.8202,0,0
62,368013.103,141672.3976,0,1
63,368046.0853,141684.8202,0,0
63,368040.6654,141679.9277,0,1
64,367455.1746,142268.7768,0,0
64,367430.1797,142289.8626,0,1
65,367457.693,142271.2073,0,0
65,367432.6471,142292.3449,0,1
66,367460.2115,142273.6378,0,0
66,367454.0898,142299.7452,0,1
67,367455.1746,142268.7768,0,0
67,367447.3546,142267.1884,0,1
68,368025.2032,141666.2579,0,0
68,368010.0001,141693.1526,0,1
69,368026.8415,141669.3509,0,0
69,368012.5186,141695.5832,0,1
70,368025.2032,141666.2579,0,0
70,368014.6894,141669.2778,0,1
71,368028.4797,141672.4438,0,0
71,368043.8815,141699.136,0,1
72,368569.6544,141374.7479,0,0
72,368562.1407,141381.4257,0,1
73,368569.6544,141374.7479,0,0
73,368588.0189,141406.1336,0,1
74,368572.5835,141373.4593,0,0
74,368597.5017,141382.2095,0,1
75,369671.9574,142016.8343,0,0
75,369702.453,142031.8137,0,1
76,369673.5992,142014.0876,0,0
76,369703.1315,142028.6865,0,1
77,369671.9574,142016.8343,0,0
77,369679.9736,142030.7743,0,1
78,370113.9085,142134.9069,0,0
78,370133.9466,142121.1332,0,1
79,370106.8195,142119.2806,0,0
79,370133.9466,142121.1332,0,1
80,370107.498,142116.1533,0,0
80,370132.8465,142118.1283,0,1
81,370476.0428,141995.1541,0,0
81,370512.6426,141985.8901,0,1
82,370476.0428,141995.1541,0,0
82,370480.9116,142000.2419,0,1
83,370475.0399,141992.1134,0,0
83,370485.0322,141967.8051,0,1
84,369885.7645,142710.2295,0,0
84,369919.135,142712.8864,0,1
85,369885.6975,142707.0303,0,0
85,369919.386,142709.6963,0,1
86,369885.7645,142710.2295,0,0
86,369892.7803,142719.5644,0,1
87,369885.6975,142707.0303,0,0
87,369912.2673,142689.6461,0,1
88,368266.0774,143965.145,0,0
88,368253.3351,143955.0996,0,1
89,368266.0619,143968.6449,0,0
