"id","x","y","z","seq_id"
"167","368309.4159","140147.833","0","0"
"167","367929.638","140162.5993","0","1"
"167","367640.4752","140159.4112","0","2"
"167","367635.6896","140159.3155","0","3"
"168","368505.498","139646.9826","0","0"
"168","368322.3952","140138.2682","0","1"
"169","368498.0229","139626.0333","0","0"
"169","367810.2232","139628.8877","0","1"
"169","367516.1935","139622.762","0","2"
"169","367402.1768","139616.1524","0","3"
"169","367384.3693","139615.1201","0","4"
"170","368518.8938","139617.6944","0","0"
"170","368308.2778","139068.4107","0","1"
"171","368530.8524","139637.9354","0","0"
"171","369831.9873","139675.434","0","1"
"172","369862.9706","139677.2563","0","0"
"172","370524.2814","139699.7165","0","1"
"172","370528.8488","139699.5501","0","2"
"173","370528.8488","139699.5501","0","0"
"173","370533.4162","139699.3837","0","1"
"173","371200.7413","139725.0669","0","2"
"174","369851.421","139657.0078","0","0"
"174","369844.2063","139089.1498","0","1"
"175","367601.7889","140965.4607","0","0"
"175","367668.29","141253.9198","0","1"
"175","367658.9891","141486.6839","0","2"
"177","369889.966","142425.9667","0","0"
"177","369894.8816","142432.1501","0","1"
"177","369898.1536","142689.6189","0","2"
"178","368341.6218","140157.9759","0","0"
"178","369109.7766","140183.5034","0","1"
"179","369799.6691","140192.7472","0","0"
"179","369152.109","140172.3194","0","1"
"180","366774.2567","138947.2871","0","0"
"180","366778.3599","139276.9452","0","1"
"180","366823.5858","139455.9535","0","2"
"180","366966.6574","139590.2716","0","3"
"180","367091.7734","139619.3186","0","4"
"180","367363.4077","139634.6086","0","5"
"180","367381.8654","139635.6476","0","6"
"181","367384.3693","139615.1201","0","0"
"181","367366.5619","139614.0877","0","1"
"181","367093.5258","139598.2596","0","2"
"181","366971.0134","139567.6315","0","3"
"181","366836.2498","139438.9935","0","4"
"181","366799.4961","139267.4762","0","5"
"181","366792.7052","138948.6396","0","6"
"184","370464.5895","144055.6502","0","0"
"184","370452.1495","144516.0861","0","1"
"184","370433.7082","144634.5363","0","2"
"185","370457.8238","144634.5363","0","0"
"185","370474.8466","144518.9232","0","1"
"185","370482.758","144057.0145","0","2"
"190","370272.2957","145068.607","0","0"
"190","370261.3882","145097.6585","0","1"
"190","370230.6911","145179.4188","0","2"
"190","370162.6","145375.4303","0","3"
"190","370114.8","145728.9597","0","4"
"190","370203.1824","146115.4903","0","5"
"190","370441.8649","146512.0079","0","6"
